iter	Passed	Remaining
0	242	81952
1	297	50112
2	358	40170
3	415	34812
4	470	31434
5	544	30193
6	608	28872
7	643	26641
8	653	23960
9	715	23543
10	797	23790
11	930	25343
12	1080	27083
13	1167	27107
14	1246	26926
15	1503	30342
16	1654	31343
17	1748	31173
18	1820	30667
19	1885	30080
20	1977	29951
21	2084	30031
22	2152	29578
23	2212	29044
24	2273	28554
25	2331	28069
26	2408	27830
27	2469	27426
28	2533	27078
29	2616	26949
30	2676	26592
31	2743	26322
32	2802	25986
33	2862	25678
34	2928	25433
35	3001	25261
36	3080	25144
37	3237	25646
38	3333	25641
39	3415	25527
40	3494	25400
41	3578	25305
42	3713	25560
43	3798	25468
44	3901	25492
45	4020	25608
46	4118	25585
47	4216	25562
48	4282	25347
49	4367	25242
50	4453	25148
51	4527	24987
52	4603	24841
53	4700	24807
54	4777	24670
55	4848	24502
56	4916	24322
57	4994	24196
58	5066	24046
59	5124	23826
60	5188	23648
61	5316	23751
62	5375	23548
63	5432	23344
64	5510	23228
65	5576	23068
66	5645	22919
67	5715	22776
68	5776	22603
69	5832	22414
70	5892	22240
71	5951	22069
72	6032	21980
73	6096	21832
74	6167	21710
75	6182	21395
76	6257	21292
77	6315	21133
78	6391	21035
79	6479	20978
80	6559	20894
81	6623	20758
82	6680	20605
83	6752	20497
84	6808	20344
85	6866	20200
86	6931	20078
87	7007	19988
88	7067	19851
89	7125	19712
90	7186	19583
91	7244	19449
92	7321	19365
93	7407	19305
94	7482	19218
95	7547	19104
96	7612	18992
97	7670	18863
98	7728	18735
99	7815	18678
100	7897	18609
101	7992	18570
102	8054	18455
103	8112	18331
104	8169	18206
105	8227	18085
106	8305	18008
107	8367	17896
108	8441	17811
109	8522	17741
110	8591	17647
111	8658	17548
112	8726	17452
113	8812	17392
114	8903	17343
115	8973	17251
116	9052	17176
117	9142	17123
118	9210	17027
119	9311	16993
120	9405	16944
121	9495	16888
122	9574	16813
123	9649	16731
124	9730	16659
125	9810	16583
126	9953	16615
127	10086	16626
128	10211	16623
129	10345	16631
130	10452	16596
131	10520	16498
132	10593	16407
133	10678	16337
134	10770	16275
135	10850	16196
136	10926	16111
137	10997	16018
138	11067	15923
139	11138	15832
140	11292	15857
141	11405	15822
142	11463	15712
143	11526	15609
144	11601	15522
145	11708	15477
146	11793	15403
147	11866	15314
148	11938	15223
149	12002	15123
150	12072	15030
151	12140	14935
152	12205	14838
153	12266	14735
154	12339	14648
155	12410	14558
156	12493	14483
157	12551	14378
158	12607	14272
159	12671	14175
160	12730	14074
161	12793	13977
162	12851	13876
163	12911	13777
164	12982	13690
165	13048	13598
166	13110	13502
167	13169	13404
168	13226	13304
169	13291	13213
170	13354	13119
171	13413	13023
172	13497	12951
173	13556	12855
174	13616	12760
175	13675	12665
176	13733	12569
177	13790	12473
178	13853	12383
179	13914	12290
180	13992	12214
181	14062	12130
182	14120	12036
183	14178	11944
184	14237	11851
185	14297	11760
186	14356	11669
187	14413	11577
188	14476	11489
189	14551	11411
190	14615	11325
191	14675	11235
192	14734	11146
193	14795	11058
194	14855	10970
195	14915	10882
196	14987	10803
197	15091	10746
198	15152	10659
199	15234	10587
200	15309	10510
201	15391	10438
202	15501	10384
203	15601	10324
204	15679	10249
205	15765	10178
206	15870	10120
207	15954	10048
208	16051	9984
209	16168	9932
210	16255	9861
211	16325	9779
212	16398	9700
213	16473	9622
214	16536	9537
215	16614	9460
216	16679	9377
217	16758	9301
218	16856	9236
219	16964	9176
220	17053	9105
221	17148	9037
222	17232	8963
223	17312	8888
224	17379	8805
225	17450	8725
226	17526	8647
227	17613	8575
228	17679	8492
229	17747	8410
230	17818	8330
231	17896	8254
232	17965	8173
233	18030	8090
234	18096	8008
235	18166	7928
236	18226	7844
237	18287	7760
238	18349	7677
239	18407	7593
240	18470	7510
241	18527	7426
242	18591	7344
243	18661	7265
244	18738	7189
245	18796	7105
246	18857	7023
247	18913	6940
248	18988	6863
249	19061	6785
250	19120	6703
251	19186	6624
252	19256	6545
253	19316	6464
254	19374	6382
255	19439	6302
256	19509	6224
257	19569	6144
258	19633	6064
259	19720	5991
260	19794	5915
261	19853	5834
262	19912	5754
263	19975	5674
264	20031	5593
265	20088	5513
266	20147	5433
267	20215	5355
268	20276	5276
269	20343	5198
270	20404	5119
271	20472	5042
272	20535	4964
273	20596	4886
274	20666	4809
275	20751	4736
276	20813	4658
277	20874	4580
278	20930	4501
279	20991	4423
280	21061	4347
281	21130	4270
282	21217	4198
283	21328	4130
284	21414	4057
285	21494	3983
286	21572	3908
287	21657	3835
288	21744	3761
289	21848	3691
290	21999	3628
291	22102	3557
292	22224	3489
293	22338	3419
294	22400	3341
295	22469	3264
296	22541	3187
297	22659	3117
298	22760	3044
299	22895	2976
300	23007	2904
301	23083	2828
302	23142	2749
303	23194	2670
304	23255	2592
305	23318	2514
306	23385	2437
307	23444	2359
308	23521	2283
309	23598	2207
310	23675	2131
311	23744	2054
312	23828	1979
313	23909	1903
314	23982	1827
315	24075	1752
316	24146	1675
317	24215	1599
318	24277	1522
319	24348	1445
320	24441	1370
321	24513	1294
322	24587	1217
323	24645	1140
324	24703	1064
325	24757	987
326	24816	910
327	24880	834
328	24941	758
329	25007	682
330	25073	606
331	25129	529
332	25187	453
333	25243	377
334	25317	302
335	25412	226
336	25487	151
337	25551	75
338	25607	0
